[Mon Apr 30 20:50:55.559064 2018] [:error] [pid 1326] [client 127.0.0.1:38804] PHP Notice:  Undefined variable: format in /home/jnisbet/git/IT490-1/game.php on line 153, referer: http://localhost/search.php
[Mon Apr 30 21:21:07.442941 2018] [:error] [pid 3085] [client 127.0.0.1:39278] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 38, referer: http://localhost/search.php
[Mon Apr 30 21:21:07.574494 2018] [:error] [pid 1330] [client 127.0.0.1:39290] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 15, referer: http://localhost/search.php
[Mon Apr 30 21:21:07.574545 2018] [:error] [pid 1330] [client 127.0.0.1:39290] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 15, referer: http://localhost/search.php
[Mon Apr 30 21:21:07.574561 2018] [:error] [pid 1330] [client 127.0.0.1:39290] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 16, referer: http://localhost/search.php
[Mon Apr 30 21:21:07.574571 2018] [:error] [pid 1330] [client 127.0.0.1:39290] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 16, referer: http://localhost/search.php
[Mon Apr 30 21:21:07.574596 2018] [:error] [pid 1330] [client 127.0.0.1:39290] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 17, referer: http://localhost/search.php
[Mon Apr 30 21:21:07.574607 2018] [:error] [pid 1330] [client 127.0.0.1:39290] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 17, referer: http://localhost/search.php
[Mon Apr 30 21:21:07.574616 2018] [:error] [pid 1330] [client 127.0.0.1:39290] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 17, referer: http://localhost/search.php
[Mon Apr 30 21:21:07.574628 2018] [:error] [pid 1330] [client 127.0.0.1:39290] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 19, referer: http://localhost/search.php
[Mon Apr 30 21:21:07.574638 2018] [:error] [pid 1330] [client 127.0.0.1:39290] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 19, referer: http://localhost/search.php
[Mon Apr 30 21:21:07.574647 2018] [:error] [pid 1330] [client 127.0.0.1:39290] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 21, referer: http://localhost/search.php
[Mon Apr 30 21:21:07.574656 2018] [:error] [pid 1330] [client 127.0.0.1:39290] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 21, referer: http://localhost/search.php
[Mon Apr 30 21:21:07.574683 2018] [:error] [pid 1330] [client 127.0.0.1:39290] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 24, referer: http://localhost/search.php
[Mon Apr 30 21:21:07.574692 2018] [:error] [pid 1330] [client 127.0.0.1:39290] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 24, referer: http://localhost/search.php
[Mon Apr 30 21:21:07.574778 2018] [:error] [pid 1330] [client 127.0.0.1:39290] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 38, referer: http://localhost/search.php
[Mon Apr 30 21:21:07.574791 2018] [:error] [pid 1330] [client 127.0.0.1:39290] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 38, referer: http://localhost/search.php
[Mon Apr 30 21:21:12.061564 2018] [:error] [pid 3084] [client 127.0.0.1:39264] PHP Notice:  Undefined variable: format in /home/jnisbet/git/IT490-1/game.php on line 148, referer: http://localhost/search.php
[Mon Apr 30 21:23:54.235974 2018] [:error] [pid 1328] [client 127.0.0.1:39352] PHP Warning:  require(user_functions.php): failed to open stream: No such file or directory in /home/jnisbet/git/IT490-1/watchlist.php on line 39, referer: http://localhost/profile.php
[Mon Apr 30 21:23:54.236039 2018] [:error] [pid 1328] [client 127.0.0.1:39352] PHP Fatal error:  require(): Failed opening required 'user_functions.php' (include_path='.:/usr/share/php') in /home/jnisbet/git/IT490-1/watchlist.php on line 39, referer: http://localhost/profile.php
[Mon Apr 30 21:24:01.905852 2018] [:error] [pid 1327] [client 127.0.0.1:39382] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 15, referer: http://localhost/search.php
[Mon Apr 30 21:24:01.905910 2018] [:error] [pid 1327] [client 127.0.0.1:39382] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 15, referer: http://localhost/search.php
[Mon Apr 30 21:24:01.905925 2018] [:error] [pid 1327] [client 127.0.0.1:39382] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 16, referer: http://localhost/search.php
[Mon Apr 30 21:24:01.905935 2018] [:error] [pid 1327] [client 127.0.0.1:39382] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 16, referer: http://localhost/search.php
[Mon Apr 30 21:24:01.905960 2018] [:error] [pid 1327] [client 127.0.0.1:39382] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 17, referer: http://localhost/search.php
[Mon Apr 30 21:24:01.905970 2018] [:error] [pid 1327] [client 127.0.0.1:39382] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 17, referer: http://localhost/search.php
[Mon Apr 30 21:24:01.905980 2018] [:error] [pid 1327] [client 127.0.0.1:39382] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 17, referer: http://localhost/search.php
[Mon Apr 30 21:24:01.905993 2018] [:error] [pid 1327] [client 127.0.0.1:39382] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 19, referer: http://localhost/search.php
[Mon Apr 30 21:24:01.906002 2018] [:error] [pid 1327] [client 127.0.0.1:39382] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 19, referer: http://localhost/search.php
[Mon Apr 30 21:24:01.906012 2018] [:error] [pid 1327] [client 127.0.0.1:39382] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 21, referer: http://localhost/search.php
[Mon Apr 30 21:24:01.906020 2018] [:error] [pid 1327] [client 127.0.0.1:39382] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 21, referer: http://localhost/search.php
[Mon Apr 30 21:24:01.906031 2018] [:error] [pid 1327] [client 127.0.0.1:39382] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 24, referer: http://localhost/search.php
[Mon Apr 30 21:24:01.906053 2018] [:error] [pid 1327] [client 127.0.0.1:39382] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 24, referer: http://localhost/search.php
[Mon Apr 30 21:24:01.906143 2018] [:error] [pid 1327] [client 127.0.0.1:39382] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 38, referer: http://localhost/search.php
[Mon Apr 30 21:24:01.906155 2018] [:error] [pid 1327] [client 127.0.0.1:39382] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 38, referer: http://localhost/search.php
[Mon Apr 30 21:24:02.622586 2018] [:error] [pid 3071] [client 127.0.0.1:39378] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 15, referer: http://localhost/search.php
[Mon Apr 30 21:24:02.622702 2018] [:error] [pid 3071] [client 127.0.0.1:39378] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 15, referer: http://localhost/search.php
[Mon Apr 30 21:24:02.622749 2018] [:error] [pid 3071] [client 127.0.0.1:39378] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 16, referer: http://localhost/search.php
[Mon Apr 30 21:24:02.622767 2018] [:error] [pid 3071] [client 127.0.0.1:39378] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 16, referer: http://localhost/search.php
[Mon Apr 30 21:24:02.622780 2018] [:error] [pid 3071] [client 127.0.0.1:39378] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 17, referer: http://localhost/search.php
[Mon Apr 30 21:24:02.622789 2018] [:error] [pid 3071] [client 127.0.0.1:39378] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 17, referer: http://localhost/search.php
[Mon Apr 30 21:24:02.622797 2018] [:error] [pid 3071] [client 127.0.0.1:39378] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 17, referer: http://localhost/search.php
[Mon Apr 30 21:24:02.622807 2018] [:error] [pid 3071] [client 127.0.0.1:39378] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 19, referer: http://localhost/search.php
[Mon Apr 30 21:24:02.622816 2018] [:error] [pid 3071] [client 127.0.0.1:39378] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 19, referer: http://localhost/search.php
[Mon Apr 30 21:24:02.622824 2018] [:error] [pid 3071] [client 127.0.0.1:39378] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 21, referer: http://localhost/search.php
[Mon Apr 30 21:24:02.622832 2018] [:error] [pid 3071] [client 127.0.0.1:39378] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 21, referer: http://localhost/search.php
[Mon Apr 30 21:24:02.622841 2018] [:error] [pid 3071] [client 127.0.0.1:39378] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 24, referer: http://localhost/search.php
[Mon Apr 30 21:24:02.622849 2018] [:error] [pid 3071] [client 127.0.0.1:39378] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 24, referer: http://localhost/search.php
[Mon Apr 30 21:24:02.622924 2018] [:error] [pid 3071] [client 127.0.0.1:39378] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 38, referer: http://localhost/search.php
[Mon Apr 30 21:24:02.622936 2018] [:error] [pid 3071] [client 127.0.0.1:39378] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 38, referer: http://localhost/search.php
[Mon Apr 30 21:28:51.869340 2018] [:error] [pid 3085] [client 127.0.0.1:39458] PHP Notice:  Undefined variable: format in /home/jnisbet/git/IT490-1/game.php on line 159, referer: http://localhost/search.php
[Mon Apr 30 21:28:56.547453 2018] [:error] [pid 3085] [client 127.0.0.1:39458] PHP Notice:  Undefined variable: format in /home/jnisbet/git/IT490-1/game.php on line 159, referer: http://localhost/search.php
[Mon Apr 30 21:29:12.428407 2018] [:error] [pid 3071] [client 127.0.0.1:39518] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 15, referer: http://localhost/search.php
[Mon Apr 30 21:29:12.428465 2018] [:error] [pid 3071] [client 127.0.0.1:39518] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 15, referer: http://localhost/search.php
[Mon Apr 30 21:29:12.428479 2018] [:error] [pid 3071] [client 127.0.0.1:39518] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 16, referer: http://localhost/search.php
[Mon Apr 30 21:29:12.428489 2018] [:error] [pid 3071] [client 127.0.0.1:39518] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 16, referer: http://localhost/search.php
[Mon Apr 30 21:29:12.428502 2018] [:error] [pid 3071] [client 127.0.0.1:39518] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 17, referer: http://localhost/search.php
[Mon Apr 30 21:29:12.428510 2018] [:error] [pid 3071] [client 127.0.0.1:39518] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 17, referer: http://localhost/search.php
[Mon Apr 30 21:29:12.428519 2018] [:error] [pid 3071] [client 127.0.0.1:39518] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 17, referer: http://localhost/search.php
[Mon Apr 30 21:29:12.428528 2018] [:error] [pid 3071] [client 127.0.0.1:39518] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 19, referer: http://localhost/search.php
[Mon Apr 30 21:29:12.428536 2018] [:error] [pid 3071] [client 127.0.0.1:39518] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 19, referer: http://localhost/search.php
[Mon Apr 30 21:29:12.428545 2018] [:error] [pid 3071] [client 127.0.0.1:39518] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 21, referer: http://localhost/search.php
[Mon Apr 30 21:29:12.428553 2018] [:error] [pid 3071] [client 127.0.0.1:39518] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 21, referer: http://localhost/search.php
[Mon Apr 30 21:29:12.428563 2018] [:error] [pid 3071] [client 127.0.0.1:39518] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 24, referer: http://localhost/search.php
[Mon Apr 30 21:29:12.428570 2018] [:error] [pid 3071] [client 127.0.0.1:39518] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 24, referer: http://localhost/search.php
[Mon Apr 30 21:29:12.428647 2018] [:error] [pid 3071] [client 127.0.0.1:39518] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 38, referer: http://localhost/search.php
[Mon Apr 30 21:29:12.428658 2018] [:error] [pid 3071] [client 127.0.0.1:39518] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 38, referer: http://localhost/search.php
[Mon Apr 30 21:29:14.816296 2018] [:error] [pid 3084] [client 127.0.0.1:39498] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 15, referer: http://localhost/search.php
[Mon Apr 30 21:29:14.816406 2018] [:error] [pid 3084] [client 127.0.0.1:39498] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 15, referer: http://localhost/search.php
[Mon Apr 30 21:29:14.816421 2018] [:error] [pid 3084] [client 127.0.0.1:39498] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 16, referer: http://localhost/search.php
[Mon Apr 30 21:29:14.816430 2018] [:error] [pid 3084] [client 127.0.0.1:39498] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 16, referer: http://localhost/search.php
[Mon Apr 30 21:29:14.816463 2018] [:error] [pid 3084] [client 127.0.0.1:39498] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 17, referer: http://localhost/search.php
[Mon Apr 30 21:29:14.816473 2018] [:error] [pid 3084] [client 127.0.0.1:39498] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 17, referer: http://localhost/search.php
[Mon Apr 30 21:29:14.816482 2018] [:error] [pid 3084] [client 127.0.0.1:39498] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 17, referer: http://localhost/search.php
[Mon Apr 30 21:29:14.816492 2018] [:error] [pid 3084] [client 127.0.0.1:39498] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 19, referer: http://localhost/search.php
[Mon Apr 30 21:29:14.816500 2018] [:error] [pid 3084] [client 127.0.0.1:39498] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 19, referer: http://localhost/search.php
[Mon Apr 30 21:29:14.816509 2018] [:error] [pid 3084] [client 127.0.0.1:39498] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 21, referer: http://localhost/search.php
[Mon Apr 30 21:29:14.816517 2018] [:error] [pid 3084] [client 127.0.0.1:39498] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 21, referer: http://localhost/search.php
[Mon Apr 30 21:29:14.816526 2018] [:error] [pid 3084] [client 127.0.0.1:39498] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 24, referer: http://localhost/search.php
[Mon Apr 30 21:29:14.816534 2018] [:error] [pid 3084] [client 127.0.0.1:39498] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 24, referer: http://localhost/search.php
[Mon Apr 30 21:29:14.816606 2018] [:error] [pid 3084] [client 127.0.0.1:39498] PHP Notice:  Undefined offset: 0 in /home/jnisbet/git/IT490-1/back/api.php on line 38, referer: http://localhost/search.php
[Mon Apr 30 21:29:14.816617 2018] [:error] [pid 3084] [client 127.0.0.1:39498] PHP Notice:  Trying to get property of non-object in /home/jnisbet/git/IT490-1/back/api.php on line 38, referer: http://localhost/search.php
[Mon Apr 30 21:29:19.285334 2018] [:error] [pid 3084] [client 127.0.0.1:39498] PHP Catchable fatal error:  Object of class stdClass could not be converted to string in /home/jnisbet/git/IT490-1/game.php on line 89, referer: http://localhost/search.php
[Mon Apr 30 21:35:53.947880 2018] [:error] [pid 5855] [client 127.0.0.1:39618] PHP Notice:  Undefined variable: format in /home/jnisbet/git/IT490-1/game.php on line 159, referer: http://localhost/search.php
[Mon Apr 30 21:35:57.792631 2018] [:error] [pid 5855] [client 127.0.0.1:39618] PHP Notice:  Undefined variable: format in /home/jnisbet/git/IT490-1/game.php on line 159, referer: http://localhost/search.php
[Mon Apr 30 21:36:01.492951 2018] [:error] [pid 5855] [client 127.0.0.1:39618] PHP Notice:  Undefined variable: format in /home/jnisbet/git/IT490-1/game.php on line 159, referer: http://localhost/search.php
